artist,artist_bandcamp,location_bandcamp,origin
June of 44,June of 44,,"Louisville, Kentucky, U.S."
Jungle,Jungle,"London, UK","London, England"
Juno Reactor,Juno Reactor,"Brighton, UK","London, England"
Just Like Vinyl,Just Like Vinyl,UK,"Mukilteo, WA, United States"
Just Surrender,Just Surrender,"Poughkeepsie, New York","Dover Plains, New York,  United States"
KT Tunstall,KT Tunstall,"Los Angeles, California","Edinburgh, Scotland"
Kaddisfly,Kaddisfly,"Portland, Oregon","Eugene, Oregon, U.S."
Kaddish,Kaddish,"AL, Brazil","Dundee, Dundee City, United Kingdom"
Kaki King,Kaki King,"Brooklyn, New York","Atlanta, Georgia, U.S."
Kaleidoscope,Kaleidoscope,"Fort Lauderdale, Florida","London, England"
Kamelot,Kamelot,Florida,"Tampa, Florida, United States"
Kansas,Kansas,"Cleveland, Ohio","Topeka, Kansas, U.S."
Karate,Karate,"Schenectady, New York","Boston, Massachusetts, U.S."
Karl Sanders,Karl Sanders,"Greenville, South Carolina","San Francisco, California, U.S."
Karma To Burn,Karma To Burn,"Morgantown, West Virginia","Morgantown, West Virginia, U.S."
Keelhaul,Keelhaul,"Cleveland, Ohio","Cleveland, Ohio, U.S."
Kevin Devine,Kevin Devine,New York,New York City
Khanate,Khanate,"New York, New York","New York City, U.S."
Khlyst,Khlyst,"New York, New York",New York City
Kidneythieves,Kidneythieves,"Los Angeles, California","Los Angeles, California, U.S."
Kill Hannah,Kill Hannah,"Chicago, Illinois","Chicago, Illinois, U.S."
Killdozer,Killdozer,"Madison, Wisconsin","Madison, Wisconsin, U.S."
Killing Joke,Killing Joke,"London, UK","Notting Hill, London, England"
Killing The Dream,Killing The Dream,California,"Sacramento, California"
Killing Time,Killing Time,"New York, New York","New York, NY, United States"
Killswitch Engage,Killswitch Engage,"Westfield, Massachusetts","Westfield, Massachusetts, U.S."
King Conquer,King Conquer,Florida,"Naples, Florida, U.S."
King Missile,King Missile,"New York, New York","New York City, United States"
Knights Of The Abyss,Knights Of The Abyss,"Phoenix, Arizona","Glendale, Arizona"
Kolya,Kolya,"Troy, New York","Cambridge, MA"
Kottonmouth Kings,Kottonmouth Kings,California,"Placentia, California, U.S."
Kowloon Walled City,Kowloon Walled City,"Oakland, California",San Francisco
Krallice,Krallice,"Queens, New York","New York City, U.S."
Kris Allen,Kris Allen,"Hartford, Connecticut","Conway, Arkansas, U.S."
Kurt Vile,Kurt Vile,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, US[1]"
LCD Soundsystem,LCD Soundsystem,"New York, New York","Brooklyn, New York, United States"
La Dispute,La Dispute,Grand Rapids,"Grand Rapids, Michigan, U.S."
Labradford,Labradford,"Richmond, Virginia","Richmond, Virginia, U.S."
Ladytron,Ladytron,"Liverpool, UK","Liverpool, England"
Lagwagon,Lagwagon,"San Francisco, California","Goleta, California, U.S."
Lair of the Minotaur,Lair of the Minotaur,"Chicago, Illinois","Chicago, Illinois, U.S."
Lambchop,Lambchop,"Nashville, Tennessee","Nashville, Tennessee, United States"
Lard,Lard,"Chicago, Illinois","Chicago, Illinois, U.S."
Late of the Pier,Late of the Pier,"Newbury, UK","Castle Donington, England"
Laughing Hyenas,Laughing Hyenas,"Ann Arbor, Michigan","Ann Arbor, Michigan, U.S."
Laura Marling,Laura Marling,"London, UK","Eversley, Hampshire, United Kingdom"
Laura Veirs,Laura Veirs,"Portland, Oregon","Portland, Oregon U.S."
Laurie Anderson,Laurie Anderson,"New York, New York","Chicago, Illinois, U.S."
Leatherface,Leatherface,"Sunderland, UK","Sunderland, Tyne and Wear, England"
Leatherwolf,Leatherwolf,"Huntington Beach, California","Huntington Beach, California, U.S."
Lee Hazlewood,Lee Hazlewood,"Stockholm, Sweden","Mannford, OK, United States"
Lemuria,Lemuria,Belgium,"Buffalo, NY, United States"
Less Than Jake,Less Than Jake,"Gainesville, Florida","Gainesville, Florida, U.S."
Lethargy,Lethargy,Ukraine,"Rochester, New York, U.S."
Lewd Acts,Lewd Acts,"San Diego, California","San Diego, CA"
Liars,Liars,Australia,"Brooklyn, New York, U.S."
Lich King,Lich King,"Amherst, Massachusetts","Amherst, Massachusetts, U.S."
Liege Lord,Liege Lord,"Stamford, Connecticut","Stamford, Connecticut, U.S."
Lifetime,Lifetime,"Lyon, France","New Brunswick, New Jersey, U.S.[1]"
Light This City,Light This City,"San Francisco, California","San Francisco, California, United States"
Lightning Bolt,Lightning Bolt,"Providence, Rhode Island","Providence, Rhode Island, U.S."
Lightspeed Champion,Lightspeed Champion,"New York, New York","Essex, England[1]"
Limp Wrist,Limp Wrist,,"Albany, New York, U.S."
Linda Perhacs,Linda Perhacs,"Los Angeles, California","Santa Monica, California, U.S."
Lindsay Lohan,Lindsay Lohan,New Jersey,"New York City, U.S."
Lionheart,Lionheart,"Tulsa, Oklahoma","Oakland, CA, United States"
Lions Lions,Lions Lions,"Boston, Massachusetts","Boston, Massachusetts"
Liquid Tension Experiment,Liquid Tension Experiment,"New York, New York","New York City, United States"
Lisa Germano,Lisa Germano,"Mishawaka, Indiana","Mishawaka, Indiana, U.S."
Lissie,Lissie,"Los Angeles, California","Rock Island, Illinois, U.S."
Listener,Listener,,"Fayetteville, Arkansas, United States"
Lita Ford,Lita Ford,"Los Angeles, California","Long Beach, California, U.S."
Liturgy,Liturgy,"Brooklyn, New York","Brooklyn, New York, U.S."
Liz Phair,Liz Phair,"Chicago, Illinois","Chicago, Illinois, U.S."
Lizzy Borden,Lizzy Borden,"Los Angeles, California","Los Angeles, California, U.S."
Lo-Ruhamah,Lo-Ruhamah,Missouri,"Kansas City, MO, United States"
Local H,Local H,"Chicago, Illinois","Zion, Illinois, U.S."
Lock Up,Lock Up,"Orlando, Florida","Birmingham, England"
Locksley,Locksley,Madison,"Madison, Wisconsin, United States"
Look Mexico,Look Mexico,"Tallahassee, Florida","Tallahassee, Florida, U.S."
Look What I Did,Look What I Did,"Nashville, Tennessee","Nashville, Tennessee, U.S."
Loop,Loop,"Buenos Aires, Argentina","Croydon, Surrey, England"
Lord Mantis,Lord Mantis,"Chicago, Illinois","Chicago, IL, United States"
Los Lobos,Los Lobos,"East Los Angeles, California","East Los Angeles, California, U.S."
Lotus Plaza,Lotus Plaza,"Atlanta, Georgia","Marietta, Georgia, United States"
Lou Reed,Lou Reed,"New York, New York","Freeport, New York, U.S."
Love Spirals Downwards,Love Spirals Downwards,"Los Angeles, California","Los Angeles, California, U.S."
Love and Rockets,Love and Rockets,"Los Angeles, California","Northampton, England"
Lovedrug,Lovedrug,Ohio,"Canton, Ohio, United States"
Lucero,Lucero,"Memphis, Tennessee","Memphis, Tennessee, United States"
Lucinda Williams,Lucinda Williams,"Nashville, Tennessee","Lake Charles, Louisiana, U.S."
Lucky Boys Confusion,Lucky Boys Confusion,"Chicago, Illinois","Chicago, IL, United States"
Ludo,Ludo,UK,"St. Louis, Missouri"
Luna,Luna,"New York, New York","New York, NY, United States"
Lungfish,Lungfish,"Baltimore, Maryland","Baltimore, Maryland, U.S."
Lush,Lush,"Grand Rapids, Michigan","London, England"
Lycia,Lycia,Arizona,"Tempe, Arizona, United States"
Lydia,Lydia,"Phoenix, Arizona","Gilbert, Arizona, U.S."
Lydia Lunch,Lydia Lunch,"New York, New York","Rochester, New York, U.S."
MC Lars,MC Lars,"Oakland, California","Oakland, California, U.S."
MGMT,MGMT,"Middletown, Connecticut","Middletown, Connecticut, U.S."
Macabre,Macabre,Pennsylvania,"Chicago, Illinois, U.S."
Mad Caddies,Mad Caddies,"Santa Barbara, California","Solvang, California, U.S."
Madball,Madball,"New York, New York","New York City, U.S."
Madness,Madness,Antarctica,"Camden Town, London, England"
Magazine,Magazine,"London, UK","Manchester, England"
Magrudergrind,Magrudergrind,"Brooklyn, New York","Washington, D.C., United States"
Majority Rule,Majority Rule,"Washington, D.C.","Northern Virginia, U.S."
Male Bonding,Male Bonding,"Greater London, UK","London, England"
Malignancy,Malignancy,"Yonkers, New York","Yonkers, New York, U.S."
Mamaleek,Mamaleek,"San Francisco, California","San Francisco, CA , U.S."
Mammatus,Mammatus,,"Corralitos, CA, United States"
Mammoth Grinder,Mammoth Grinder,"Austin, Texas","Austin, Texas"
Man Must Die,Man Must Die,"Glasgow, UK","Glasgow, United Kingdom"
Man Overboard,Man Overboard,New Jersey,"Williamstown, New Jersey, U.S"
Mansions,Mansions,"Seattle, Washington","Louisville, Kentucky"
Mantic Ritual,Mantic Ritual,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania, U.S."
Marilyn Manson,Marilyn Manson,"Los Angeles, California","Fort Lauderdale, Florida, U.S."
Marissa Nadler,Marissa Nadler,"Nashville, Tennessee","Massachusetts, U.S."
Maritime,Maritime,"Milwaukee, Wisconsin","Milwaukee, Wisconsin, United States"
Mark Lanegan,Mark Lanegan,"Los Angeles, California","Seattle, Washington, U.S."
Marnie Stern,Marnie Stern,"New York, New York",New York City
Marshall Crenshaw,Marshall Crenshaw,"Detroit, Michigan","Detroit, Michigan"
Martin Grech,Martin Grech,UK,"Aylesbury, Buckinghamshire, England"
Martriden,Martriden,"Denver, Colorado","Havre, MT, United States"
Marty Friedman,Marty Friedman,"Tokyo, Japan","Washington, D.C., U.S.[1]"
Maserati,Maserati,"Athens, Georgia","Athens, Georgia, United States"
Master,Master,Czechia,"Chicago, Illinois"
Masters of Reality,Masters of Reality,,"Syracuse, New York, U.S."
Mastodon,Mastodon,"Atlanta, Georgia","Atlanta, Georgia, U.S."
Mates of State,Mates of State,Connecticut,"Lawrence, Kansas, U.S."
Math the Band,Math the Band,"Providence, Rhode Island","Providence, Rhode Island, United States"
Maths,Maths,UK,"Norwich, Norfolk, United Kingdom"
Matt Costa,Matt Costa,"Los Angeles, California","Huntington Beach, California, United States"
Matt and Kim,Matt and Kim,"Brooklyn, New York","New York City, U.S."
Matthew Sweet,Matthew Sweet,"Lincoln, Nebraska","Lincoln, Nebraska, U.S."
Mayday Parade,Mayday Parade,"Tallahassee, Florida","Tallahassee, Florida, U.S."
McFly,McFly,Czechia,"London, England"
Meat Puppets,Meat Puppets,"Phoenix, Arizona","Phoenix, Arizona, U.S."
Memento,Memento,"Lisbon, Portugal",Australia/United States
Memphis May Fire,Memphis May Fire,"Dallas, Texas","Denton, Texas, U.S."
Menomena,Menomena,"Portland, Oregon","Portland, Oregon, United States"
Mercury Rev,Mercury Rev,"New York, New York","Buffalo, New York, United States"
Metronomy,Metronomy,UK,"Totnes, England"
Michael Bolton,Michael Bolton,"Wilson, North Carolina","New Haven, Connecticut, U.S."
Michael Gira,Michael Gira,"New York, New York","Los Angeles, California, U.S."
Midsummer,Midsummer,"Port St. Lucie, Florida","Los Angeles, CA, United States"
Miley Cyrus,Miley Cyrus,,"Franklin, Tennessee, US"
Million Dead,Million Dead,"London, UK","London, England"
Mindless Self Indulgence,Mindless Self Indulgence,New York,"New York City, U.S."
Miniature Tigers,Miniature Tigers,"Los Angeles, California","Phoenix, Arizona, United States"
Minus the Bear,Minus the Bear,"Seattle, Washington","Seattle, Washington, US"
Minutemen,Minutemen,"Lawrenceburg, Indiana","San Pedro, California, U.S."
Mirah,Mirah,"Brooklyn, New York","Philadelphia, PA, United States"
Mischief Brew,Mischief Brew,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
Misericordiam,Misericordiam,"Las Vegas, Nevada","Las Vegas, NV, United States"
Misery Index,Misery Index,"Baltimore, Maryland","Baltimore, Maryland, US"
Misery Signals,Misery Signals,"Milwaukee, Wisconsin","Madison, Wisconsin, USA"
Mock Orange,Mock Orange,,"Evansville, Indiana, U.S."
Modern English,Modern English,"England, UK","Colchester, Essex, England"
Modern Life Is War,Modern Life Is War,"Marshalltown, Iowa","Marshalltown, Iowa, U.S."
Modest Mouse,Modest Mouse,"Portland, Oregon","Issaquah, Washington, U.S."
Mogwai,Mogwai,"Scotland, UK","Glasgow, Scotland"
Molly Hatchet,Molly Hatchet,"Jacksonville, Florida","Jacksonville, Florida, U.S."
Mondo Generator,Mondo Generator,,"Van Nuys, California, U.S."
Monomate,Monomate,"Portland, Oregon","Redlands, CA, United States"
Monstrosity,Monstrosity,"Columbus, Ohio","Fort Lauderdale, Florida, U.S."
Moonshake,Moonshake,"London, UK","London, England"
Mordred,Mordred,"San Francisco, California","San Francisco, CA, United States"
More Than Life,More Than Life,UK,"Bath, Somerset, United Kingdom"
Morgion,Morgion,California,"Anaheim, CA, United States"
Morning Again,Morning Again,Florida,"Cooper City, Florida"
Morta Skuld,Morta Skuld,"Milwaukee, Wisconsin","Milwaukee, WI, United States"
Mortician,Mortician,"Yonkers, New York","Yonkers, New York, U.S."
Moss Icon,Moss Icon,"Annapolis, Maryland","Annapolis, Maryland, United States"
Mother Love Bone,Mother Love Bone,"Seattle, Washington","Seattle, Washington, U.S."
Motion City Soundtrack,Motion City Soundtrack,"Minneapolis, Minnesota","Minneapolis, Minnesota, U.S."
Motionless In White,Motionless In White,"Scranton, Pennsylvania","Scranton, Pennsylvania, U.S."
Mountain,Mountain,"Tallahassee, Florida","Long Island, New York, U.S."
Moving Mountains,Moving Mountains,"New York, New York","Westchester, New York, United States"
Moving Targets,Moving Targets,"Boston, Massachusetts","Boston, MA, United States"
Muddy Waters,Muddy Waters,"Sudbury, Ontario","Issaquena County, Mississippi, U.S."
Mudhoney,Mudhoney,"Seattle, Washington","Seattle, Washington, U.S."
Mustard Plug,Mustard Plug,"Grand Rapids, Michigan","Grand Rapids, Michigan, United States"
MxPx,MxPx,"Bremerton, Washington","Bremerton, Washington, U.S.[1]"
My Bitter End,My Bitter End,"Middletown, New York","Middletown, New York"
My Brightest Diamond,My Brightest Diamond,"Detroit, Michigan","New York City, New York, U.S."
My Vitriol,My Vitriol,"London, UK","London, England"
MyChildren MyBride,MyChildren MyBride,"Madison, Alabama","Madison, Alabama"
NOFX,NOFX,"San Francisco, California","Los Angeles, California, U.S."
Nachtmystium,Nachtmystium,California,"Wheaton, Illinois, U.S."
Nada Surf,Nada Surf,"New York, New York","New York City, US"
Naked Raygun,Naked Raygun,"Chicago, Illinois","Chicago, Illinois"
Nana Grizol,Nana Grizol,"Athens, Georgia","Athens, Georgia"
Napalm Death,Napalm Death,"Meriden, UK","Meriden, West Midlands, England"
Narrows,Narrows,"London, UK","Seattle, Washington, U.S."
Nasty Savage,Nasty Savage,"Brandon, Florida","Brandon, Florida, U.S."
Natalie Merchant,Natalie Merchant,"Woodstock, New York","Jamestown, New York, USA"
Nausea,Nausea,"Los Angeles, California","New York City, U.S."
Nazareth,Nazareth,"Hillsboro, Oregon","Dunfermline, Fife, Scotland"
Nebula,Nebula,Singapore,"Los Angeles, California, U.S."
Nechochwen,Nechochwen,West Virginia,"Charleston, WV, USA"
Necrophagia,Necrophagia,"Wellsville, Ohio","Wellsville, Ohio, U.S."
Necros,Necros,"Maumee, Ohio","Maumee, Ohio"
Negative Approach,Negative Approach,"Detroit, Michigan","Detroit, Michigan"
Nekrogoblikon,Nekrogoblikon,"Los Angeles, California","Santa Barbara, California, U.S."
Neon Blonde,Neon Blonde,"Washington, D.C.","Kirkland, Washington, USA"
Neon Horse,Neon Horse,"Las Vegas, Nevada","Los Angeles, California, U.S."
Neurosis,Neurosis,,"Oakland, California, U.S."
Neutral Milk Hotel,Neutral Milk Hotel,,"Ruston, Louisiana, U.S."
Nevermore,Nevermore,"Savannah, Georgia","Seattle, Washington, U.S."
New End Original,New End Original,"San Francisco, California","Brookline, Massachusetts, U.S."
New Found Glory,New Found Glory,"Coral Springs, Florida","Coral Springs, Florida, U.S."
New Order,New Order,UK,"Salford, England"
New York Dolls,New York Dolls,"New York, New York","New York City, U.S."
Newton Faulkner,Newton Faulkner,UK,"Reigate, Surrey, England"
Nick Lowe,Nick Lowe,"London, UK","Walton-on-Thames, Surrey, England"
Night Ranger,Night Ranger,"San Francisco, California","San Francisco, California, U.S."
Nightmare Of You,Nightmare Of You,New York,"Long Island, New York, USA"
Nights Like These,Nights Like These,"Memphis, Tennessee","Memphis, Tennessee, U.S."
Nine Black Alps,Nine Black Alps,UK,"Manchester, England"
Nirvana,Nirvana,"Seattle, Washington","Aberdeen, Washington, U.S."
No Age,No Age,"Los Angeles, California","Los Angeles, California, United States"
No Bragging Rights,No Bragging Rights,"Riverside, California","Riverside, California, U.S."
No Knife,No Knife,"San Diego, California","San Diego, California, U.S."
No Trigger,No Trigger,"Worcester, Massachusetts","Massachusetts, U.S."
Nocturnus,Nocturnus,"Tampa, Florida","Tampa, Florida, U.S."
None More Black,None More Black,New Jersey,"New Jersey, United States"
Nonpoint,Nonpoint,"Chicago, Illinois","Fort Lauderdale, Florida, U.S."
Norah Jones,Norah Jones,"Park City, Utah","New York City, U.S."
Norma Jean,Norma Jean,"Atlanta, Georgia","Douglasville, Georgia, U.S."
Nuclear Death,Nuclear Death,"Phoenix, Arizona","Phoenix, Arizona, U.S."
Obituary,Obituary,"Tampa, Florida","Tampa, Florida, U.S."
Ocean Colour Scene,Ocean Colour Scene,UK,"Birmingham, England"
Oceana,Oceana,"Rome, Italy","St. Petersburg, Florida, U.S."
Oceano,Oceano,"Chicago, Illinois","Cook County, Illinois, U.S."
Oceansize,Oceansize,"Manchester, UK",Manchester
Octaves,Octaves,"Baltimore, Maryland",West Baltimore
Off With Their Heads,Off With Their Heads,"Minneapolis, Minnesota","Minneapolis, Minnesota"
Okay,Okay,"Placerville, California","Fremont, CA, United States"
Okkervil River,Okkervil River,"Austin, Texas","Austin, Texas, U.S."
Old Canes,Old Canes,"Lawrence, Kansas","Lawrence, Kansas, U.S."
Old Man Gloom,Old Man Gloom,"Santa Fe, New Mexico","Santa Fe, New Mexico, U.S."
Omen,Omen,"Chicago, Illinois","Los Angeles, California, U.S."
One Last Wish,One Last Wish,"Washington, D.C.","Washington, D.C., U.S."
Oneida,Oneida,"New York, New York","Brooklyn, New York, United States"
Only Crime,Only Crime,California,"Fort Collins, CO, United States"
Onslaught,Onslaught,"Edinburgh, UK","Bristol, England, UK"
Open Hand,Open Hand,"Philadelphia, Pennsylvania","California, United States"
Oppressor,Oppressor,"Bacolod City, Philippines","Chicago, Illinois, U.S."
Orchid,Orchid,"San Francisco, California","Amherst, Massachusetts"
Order From Chaos,Order From Chaos,Costa Rica,"Kansas City, Missouri, USA"
Origin,Origin,,"Topeka, KS, United States"
Orson,Orson,"Grand Rapids, Michigan","California, United States"
Osibisa,Osibisa,"London, UK","London, England"
Oskoreien,Oskoreien,"Los Angeles, California","Los Angeles, CA, United States"
Otep,Otep,"Los Angeles, California","Los Angeles, California, U.S."
Ours,Ours,"Cape Town, South Africa","New Jersey, United States"
Outbreak,Outbreak,"Antofagasta, Chile","Maine, U.S."
PJ Harvey,PJ Harvey,"London, UK","Bridport, Dorset, England"
Page France,Page France,"Cumberland, Maryland","Cumberland, MD, U.S."
Paint It Black,Paint It Black,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
Pale Saints,Pale Saints,"Leeds, UK","Leeds, England"
Papa Roach,Papa Roach,"Vacaville, California","Vacaville, California, U.S."
Parenthetical Girls,Parenthetical Girls,"Portland, Oregon","Everett, Washington, United States"
Parliament,Parliament,"Lexington, Kentucky","Plainfield, New Jersey, U.S."
Past Lives,Past Lives,"Austin, Texas","Seattle, Washington, U.S."
Paul Baribeau,Paul Baribeau,"Grand Ledge, Michigan","Grand Ledge, Michigan, U.S."
Paul Gilbert,Paul Gilbert,"Portland, Oregon","Carbondale, Illinois, U.S."
Paul McCartney,Paul McCartney,"Vancouver, British Columbia","Liverpool, England"
Paul Simon,Paul Simon,"New York, New York","New York City, U.S."
Paul Weller,Paul Weller,"Woking, UK","Woking, England"
Pavement,Pavement,"Stockton, California","Stockton, California, U.S."
Peach,Peach,"De Kalb, Illinois","London, England"
Pelican,Pelican,"Chicago, Illinois","Chicago, Illinois, U.S."
Penguin Cafe Orchestra,Penguin Cafe Orchestra,"London, UK","London, England"
Pentagram,Pentagram,,"Alexandria, Virginia, U.S."
Pere Ubu,Pere Ubu,"Utica, Pennsylvania","Cleveland, Ohio, United States"
Perfume Genius,Perfume Genius,"Los Angeles, California","Des Moines, Iowa, U.S."
Periphery,Periphery,"Woodcliff Lake, New Jersey","Washington, D.C., U.S."
Pete Yorn,Pete Yorn,"Los Angeles, California","Pompton Plains, New Jersey, U.S."
Peter Criss,Peter Criss,"Quebec, Québec","Brooklyn, New York, U.S."
Peter Gabriel,Peter Gabriel,"England, UK","Chobham, England"
Peter Murphy,Peter Murphy,"Istanbul, Turkey","Wellingborough, England"
Phideaux,Phideaux,,Hastings-on-Hudson
Phil Collins,Phil Collins,"Wichita, Kansas","London, England"
Phil Ochs,Phil Ochs,"New York, New York","New York City, U.S."
Phish,Phish,"Burlington, Vermont","Burlington, Vermont, U.S."
Phobia,Phobia,California,"Mission Viejo, California"
Phosphorescent,Phosphorescent,"Athens, Georgia","Athens, Georgia, United States"
Pig Destroyer,Pig Destroyer,"Alexandria, Virginia","Alexandria, Virginia, U.S."
Pile,Pile,,"Boston, Massachusetts, United States"
Pillar,Pillar,"Los Angeles, California","Tulsa, Oklahoma, U.S."
Pinback,Pinback,"San Diego, California","San Diego, California, US"
Pissed Jeans,Pissed Jeans,"Philadelphia, Pennsylvania","Allentown, Pennsylvania, U.S."
Plan B,Plan B,"Seattle, Washington","Guayama, Puerto Rico"
Planet X,Planet X,"Belfast, UK","Los Angeles, CA, United States"
Playing Enemy,Playing Enemy,"Seattle, Washington","Seattle, WA, United States"
Poison,Poison,"New York, New York","Mechanicsburg, Pennsylvania, U.S."
Poison Idea,Poison Idea,"Portland, Oregon","Portland, Oregon, U.S."
Polkadot Cadaver,Polkadot Cadaver,"Baltimore, Maryland","Rockville, Maryland, U.S."
Pompeii,Pompeii,"Austin, Texas","Austin, Texas, United States of America"
Pop Evil,Pop Evil,"North Muskegon, Michigan","Muskegon, Michigan, U.S."
Porcupine Tree,Porcupine Tree,"London, UK","Hemel Hempstead, Hertfordshire, England"
Pour Habit,Pour Habit,"Los Angeles, California","Long Beach, California, United States"
Power Quest,Power Quest,"Southampton, UK","Southampton, England"
Powerman 5000,Powerman 5000,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Pram,Pram,UK,"Moseley, Birmingham, England"
Praxis,Praxis,Costa Rica,"Brooklyn, NY, United States"
Prefab Sprout,Prefab Sprout,UK,"Witton Gilbert, County Durham, England"
Pretty Girls Make Graves,Pretty Girls Make Graves,"Seattle, Washington","Seattle, Washington, U.S."
Primal Scream,Primal Scream,"Greater London, UK","Glasgow, Scotland"
Pro-Pain,Pro-Pain,"New York, New York","New York City, New York, U.S."
Project 86,Project 86,California,"Orange County, California, U.S."
Prolapse,Prolapse,UK,"Leicester, England"
Prototype,Prototype,,"Los Angeles, California, U.S."
Psychic TV,Psychic TV,"London, UK","London, England"
Psychostick,Psychostick,"Chicago, Illinois","Tempe, Arizona, U.S."
Psychotic Waltz,Psychotic Waltz,"San Diego, California","El Cajon, California, U.S."
Psyclon Nine,Psyclon Nine,"Los Angeles, California","San Francisco, California, United States"
Pulled Apart By Horses,Pulled Apart By Horses,"Leeds, UK","Leeds, England"
Pulley,Pulley,"Simi Valley, California","Simi Valley, California, U.S."
Pulling Teeth,Pulling Teeth,"Baltimore, Maryland","Baltimore, Maryland, U.S."
Punchline,Punchline,Pittsburgh,"Belle Vernon, Pennsylvania, U.S."
Pylon,Pylon,"Wakefield, UK","Athens, Georgia, United States"
Pyrexia,Pyrexia,New York,"New York, NY, United States"
Q and Not U,Q and Not U,"Washington, D.C.","Washington, D.C., United States"
Quasi,Quasi,"Portland, Oregon","Portland, Oregon, U.S."
Quicksand,Quicksand,"New York, New York","New York City, New York, U.S."
Quicksilver Messenger Service,Quicksilver Messenger Service,"San Francisco, California","San Francisco, California, U.S."
RVIVR,RVIVR,"Olympia, Washington","Olympia, Washington"
Ra Ra Riot,Ra Ra Riot,"Syracuse, New York","Syracuse, New York, U.S."
Rabbit Junk,Rabbit Junk,"Los Angeles, California","Seattle, Washington, U.S."
Racer X,Racer X,"Slippery Rock, Pennsylvania","Los Angeles, California, U.S."
Rachael Yamagata,Rachael Yamagata,"Woodstock, New York","Arlington, Virginia, United States"
Radio Moscow,Radio Moscow,"San Diego, California","Story City, Iowa, United States"
Radiohead,Radiohead,"Oxford, UK","Abingdon, Oxfordshire, England"
Raging Speedhorn,Raging Speedhorn,"Corby, UK","Corby, Northamptonshire, England"
Rain Parade,Rain Parade,"Oakland, California","Los Angeles, California, U.S."
Rainbow,Rainbow,,"Hertford, Hertfordshire, England"
Rainer Maria,Rainer Maria,"Brooklyn, New York","Madison, Wisconsin, U.S."
Ramallah,Ramallah,"Boston, Massachusetts","Boston, MA, United States"
Ramona Falls,Ramona Falls,"Portland, Oregon","Portland, Oregon, United States"
Rancid,Rancid,"Berkeley, California","Berkeley, California, U.S."
Randy Newman,Randy Newman,,"Los Angeles, California, U.S."
Razorlight,Razorlight,"London, UK","London, England"
Reagan Youth,Reagan Youth,"Queens, New York","New York City, U.S."
Real Estate,Real Estate,"Brooklyn, New York","Ridgewood, New Jersey, United States"
Realm,Realm,"Somerset, UK","Milwaukee, WI, United States"
Red Fang,Red Fang,"Portland, Oregon","Portland, Oregon, United States"
Red House Painters,Red House Painters,"San Francisco, California","Atlanta, Georgia, U.S."
Red Lorry Yellow Lorry,Red Lorry Yellow Lorry,"Leeds, UK","Leeds, England"
Red Sparowes,Red Sparowes,Los Angeles,"Los Angeles, California, U.S."
Reflux,Reflux,"Sheffield, UK","Washington, DC, United States"
Repulsion,Repulsion,"Flint, Michigan","Flint, Michigan, United States"
Rev Theory,Rev Theory,"North Andover, Massachusetts","Long Island, New York, U.S."
Revenant,Revenant,"Pittsburgh, Pennsylvania","Bergenfield, NJ, United States"
Revis,Revis,"Los Angeles, California","Carbondale, Illinois, US"
Revocation,Revocation,"Boston, Massachusetts","Boston, Massachusetts, U.S."
Rich Kids on LSD,Rich Kids on LSD,"Los Angeles, California","Montecito, California, USA"
Richard Cheese,Richard Cheese,"Las Vegas, Nevada","Los Angeles, California, U.S."
Richard Hawley,Richard Hawley,"Sheffield, UK","Pitsmoor, Sheffield, England"
Richard Thompson,Richard Thompson,UK,"Notting Hill, London, England"
Rick Wakeman,Rick Wakeman,"Los Angeles, California","Perivale, England"
Rickie Lee Jones,Rickie Lee Jones,"Los Angeles, California","Chicago, Illinois, United States"
Rilo Kiley,Rilo Kiley,"Los Angeles, California","Los Angeles, California"
Ringworm,Ringworm,"Cleveland, Ohio","Cleveland, Ohio, U.S."
Rise Against,Rise Against,"Chicago, Illinois","Chicago, Illinois, U.S."
Rites of Spring,Rites of Spring,"Washington, D.C.","Washington, D.C., U.S."
Robert Plant,Robert Plant,"London, UK","Halesowen, Worcestershire[1]"
Robin Trower,Robin Trower,UK,"Catford, London, England"
Robyn Hitchcock,Robyn Hitchcock,"Nashville, Tennessee","Paddington, London, England"
Rocketship,Rocketship,"Portland, Oregon","Sacramento, California, United States"
Rocky Votolato,Rocky Votolato,"Seattle, Washington","Seattle, Washington,  United States"
Rodan,Rodan,"Louisville, Kentucky","Louisville, Kentucky, U.S."
Roger Waters,Roger Waters,"London, UK","Great Bookham, Surrey, England"
Rogue Wave,Rogue Wave,"Oakland, California","Oakland, California, United States"
Rollins Band,Rollins Band,"Los Angeles, California","Van Nuys, California, U.S."
Rolo Tomassi,Rolo Tomassi,UK,"Stocksbridge, Sheffield, England"
Ron Jarzombek,Ron Jarzombek,"San Antonio, Texas","San Antonio, TX, United States"
Rorschach,Rorschach,New Jersey,"New Jersey, U.S."
Rosaline,Rosaline,"Chicago, Illinois","Chicago, Illinois"
Rosetta,Rosetta,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
