artist,href,style,country
ION DISSONANCE,2791,Tech/Extreme Prog Metal,United States
ION QUEST,2169,Psychedelic/Space Rock,United States
IONA,417,Prog Folk,United Kingdom
IOSEB,5585,Post Rock/Math rock,Sweden
IOSONOUNCANE,12782,Crossover Prog,Italy
IOTUNN,11813,Tech/Extreme Prog Metal,Denmark
IQ,165,Neo-Prog,United Kingdom
"IRA DE DIOS, LA",4374,Psychedelic/Space Rock,Peru
"IRA DEL BACCANO, L'",9853,Heavy Prog,Italy
IRAKLIS,8549,Prog Folk,Greece
IREPRESS,2780,Experimental/Post Metal,United States
IRIS,167,Neo-Prog,France
IRIS DIVINE,10299,Progressive Metal,United States
IRISH COFFEE,610,Heavy Prog,Belgium
IRMIN'S WAY,3412,Krautrock,Multi-National
IRON BUTTERFLY,2428,Proto-Prog,United States
IRON DUKE,10371,Symphonic Prog,Denmark
IRON KIM STYLE,5377,Jazz Rock/Fusion,United States
IRON MAIDEN,2629,Prog Related,United Kingdom
IRON THRONES,6271,Tech/Extreme Prog Metal,United States
IRONWOOD,5374,Experimental/Post Metal,Australia
IRREVERSIBLE,3420,Experimental/Post Metal,United States
IRRGARTEN,168,Crossover Prog,Canada
"IRVINE, JOHN",8643,Jazz Rock/Fusion,United Kingdom
ISBJÖRG,10971,Neo-Prog,Denmark
ISILDURS BANE,169,Symphonic Prog,Sweden
ISIS,2187,Experimental/Post Metal,United States
ISKANDER,1620,Eclectic Prog,Germany
ISLAND,170,Eclectic Prog,Switzerland
ISLAND,4866,Tech/Extreme Prog Metal,Germany
ISLANDS,5824,Crossover Prog,Canada
ISLE OF THE CROSS,11569,Tech/Extreme Prog Metal,United States
ISOBAR,11473,Eclectic Prog,United States
ISOLATION,11545,Prog Folk,United Kingdom
ISOPODA,508,Symphonic Prog,Belgium
ISOS,9078,Crossover Prog,Canada
"ISOSCELES PROJECT,THE",4718,Tech/Extreme Prog Metal,Canada
ISOTOPE,1025,Jazz Rock/Fusion,United Kingdom
ISOTOPES,11651,Tech/Extreme Prog Metal,United States
ISPROJECT,10312,Rock Progressivo Italiano,Italy
ISTHMUS,4494,Experimental/Post Metal,United States
ISZIL,6821,Crossover Prog,Chile
IT,4767,Neo-Prog,United Kingdom
IT,1403,Eclectic Prog,United States
IT BITES,748,Crossover Prog,United Kingdom
IT'S A BEAUTIFUL DAY,1397,Proto-Prog,United States
IT'S NOT NIGHT: IT'S SPACE,7183,Psychedelic/Space Rock,United States
IT'S THE END,5331,Eclectic Prog,Norway
IT'S.TRUE.MENTALITY,4532,Progressive Metal,Poland
ITERUM NATA,12414,Prog Folk,Finland
ITHACA,1358,Prog Folk,United Kingdom
ITOIZ,641,Prog Folk,Spain
ITZIAR,1222,Prog Folk,Spain
IV LUNA,4537,Progressive Metal,Italy
IVANHOE,1182,Progressive Metal,Germany
"IVANOV, VELISLAV",4264,Neo-Prog,Bulgaria
IVERSEN,6004,Progressive Electronic,Norway
IVIRON,11641,Eclectic Prog,Germany
IVOR AXEGLOVITCH,6010,RIO/Avant-Prog,Denmark
IVORY,171,Psychedelic/Space Rock,Germany
IVORY TOWER,2720,Progressive Metal,Germany
IWRESTLEDABEARONCE,4919,Tech/Extreme Prog Metal,United States
IX,3666,Eclectic Prog,Venezuela
IXION,5141,Neo-Prog,Netherlands
IXT ADUX,8147,Eclectic Prog,United States
IXTHULUH,1854,Psychedelic/Space Rock,Austria
IZ,3546,Heavy Prog,United States
IZAH,4679,Experimental/Post Metal,Netherlands
IZTHMI,12837,Tech/Extreme Prog Metal,United States
IZUKAITZ,1457,Prog Folk,Spain
IZVIR,2364,Jazz Rock/Fusion,Yugoslavia
IZZ,374,Symphonic Prog,United States
J'ACCUSE..!,3429,Crossover Prog,Italy
J. A. CAESAR,7930,Psychedelic/Space Rock,Japan
J.E.T.,1053,Rock Progressivo Italiano,Italy
J.R.B SYMPHONY,12072,Progressive Metal,Spain
J21,6097,Crossover Prog,Spain
JACK DUPON,4390,RIO/Avant-Prog,France
JACK O' THE CLOCK,8552,Prog Folk,United States
JACK YELLO,548,Heavy Prog,Germany
JACKAL,5759,Heavy Prog,Canada
JACKIE-O MOTHERFUCKER,12814,Krautrock,United States
JACKO WACKO,7474,Psychedelic/Space Rock,Peru
JACKS,6585,Psychedelic/Space Rock,Japan
JACKSON HEIGHTS,3762,Prog Related,United Kingdom
"JACKSON, ANDY",9349,Psychedelic/Space Rock,United Kingdom
"JACKSON, RONALD SHANNON",4704,Jazz Rock/Fusion,United States
JACULA,172,Rock Progressivo Italiano,Italy
JADE,6676,Psychedelic/Space Rock,France
JADE WARRIOR,173,Psychedelic/Space Rock,United Kingdom
JADIS,174,Neo-Prog,United Kingdom
JAÉN KIEF,2608,Crossover Prog,Colombia
JAGA JAZZIST,2724,Jazz Rock/Fusion,Norway
JAHRTAL,12081,Prog Folk,Austria
"JAIVAS, LOS",1014,Prog Folk,Chile
JAKE GOTLIEB'S BANACH-TARSKI PARADOX,12627,Eclectic Prog,United States
JAKEL,7169,Experimental/Post Metal,Canada
JAKOB,3092,Post Rock/Math rock,New Zealand
"JAKSZYK, JAKKO M.",4366,Canterbury Scene,United Kingdom
JALAYAN,11381,Psychedelic/Space Rock,Italy
JAM CAMP,1565,Jazz Rock/Fusion,United States
JAM IT!,9657,Jazz Rock/Fusion,Russia
JAMBINAI,10008,Post Rock/Math rock,Korea
JAN DUKES DE GREY,1810,Prog Folk,United Kingdom
JANA DRAKA,11347,Crossover Prog,Italy
JANE,175,Heavy Prog,Germany
JANISON EDGE,179,Neo-Prog,United Kingdom
JANOS VÁRGA PROJECT,3555,Eclectic Prog,Hungary
"JANSCH, BERT",7236,Prog Related,United Kingdom
"JANSSON, BENNY",8673,Jazz Rock/Fusion,Sweden
JANUS,6953,Rock Progressivo Italiano,Italy
JANUS,3410,Crossover Prog,United Kingdom
JANVS,6401,Experimental/Post Metal,Italy
JAPAN,3208,Prog Related,United Kingdom
JAPANSKI PREMIJERI,11003,Eclectic Prog,Croatia
JARDÍN DE LA CROIX,4625,Post Rock/Math rock,Spain
JARDIN DE PIEDRA,4618,Heavy Prog,Peru
JARGON,11384,Crossover Prog,Greece
JARKA,2111,Jazz Rock/Fusion,Spain
"JARRE, JEAN-MICHEL",1609,Prog Related,France
JÄRVET,11941,Crossover Prog,Finland
"JARZOMBEK, RON",2356,Tech/Extreme Prog Metal,United States
JASPER WRATH,4403,Crossover Prog,United States
JASTREB,12343,Psychedelic/Space Rock,Croatia
JAUGERNAUT (A.D.),1765,Crossover Prog,United States
"JAUNIAUX, CATHERINE",3656,RIO/Avant-Prog,Belgium
JAZ,9299,Crossover Prog,France
JAZZ PISTOLS,6729,Jazz Rock/Fusion,Germany
JAZZ Q,4050,Jazz Rock/Fusion,Czech Republic
JAZZCOMPUTER.ORG,6456,Progressive Electronic,France
JB FAIRFIELD,12285,Crossover Prog,Australia
JEAN LOUIS,4794,RIO/Avant-Prog,France
JEAVESTONE,1907,Eclectic Prog,Finland
JEBEL,8761,Crossover Prog,United States
JED,11733,Prog Folk,United States
JEFFERSON AIRPLANE,2546,Proto-Prog,United States
JEJE GUITARADDICT,7536,Progressive Metal,Indonesia
JELLY FICHE,3723,Symphonic Prog,Canada
"JELLY JAM, THE",379,Psychedelic/Space Rock,United States
JENGHIZ KHAN,2578,Heavy Prog,Belgium
JENIFEREVER,5612,Post Rock/Math rock,Sweden
"JENNINGS, IAIN",10609,Neo-Prog,United Kingdom
JENZEITS,11542,Progressive Electronic,United States
JEREMY,176,Crossover Prog,United States
JEREMY IRONS AND THE RATGANG MALIBUS,6644,Crossover Prog,Sweden
JERONIMO,3171,Krautrock,Germany
JERSEYBAND,11005,RIO/Avant-Prog,United States
JESDAT,1610,Progressive Electronic,Spain
JESETER,7902,Neo-Prog,Czech Republic
JESTER,11035,Crossover Prog,United States
JESTER,177,Prog Folk,United Kingdom
JESTER'S JOKE,178,Rock Progressivo Italiano,Italy
JESTER'S MARCH,8559,Tech/Extreme Prog Metal,Germany
"JESTERDAYS, THE",7306,Prog Folk,Greece
JESU,4303,Experimental/Post Metal,United Kingdom
JESUS WITH ME,6590,Psychedelic/Space Rock,United States
JET BLACK SEA,8696,Crossover Prog,Netherlands
JET LAG,1965,Rock Progressivo Italiano,Italy
JETHRO TULL,418,Prog Folk,United Kingdom
JETHZABEL,6306,Progressive Metal,Ecuador
JEWY SABATAY,6393,Experimental/Post Metal,Serbia
JHIMM,8848,Crossover Prog,United States
JIHEL,9593,Progressive Electronic,France
JIMI SUMÉN PROJEKT,10052,RIO/Avant-Prog,Finland
JIMMY CHAMBERLIN COMPLEX,8025,Heavy Prog,United States
JIMMY YOKO & SHIN,11374,Jazz Rock/Fusion,Japan
"JINDA, GEORGE",11068,Jazz Rock/Fusion,Hungary
JINETE AZUL,8344,Jazz Rock/Fusion,Argentina
JINETES NEGROS,897,Progressive Metal,Argentina
JINJER,11725,Tech/Extreme Prog Metal,Ukraine
"JOBIM, GUSTAVO",8969,Progressive Electronic,Brazil
"JOBSON, EDDIE",2035,Progressive Electronic,United Kingdom
JODY GRIND,3078,Crossover Prog,United Kingdom
"JOE K-PLAN, THE",4818,Post Rock/Math rock,Spain
"JOHANSSON, BJÖRN",7112,Symphonic Prog,Sweden
"JOHANSSON,JENS",1956,Jazz Rock/Fusion,Sweden
JOHN FRUM,11750,Tech/Extreme Prog Metal,United States
JOHN LEE AND GERRY BROWN,12750,Jazz Rock/Fusion,United States
JOHNNY BOB,10902,Neo-Prog,Germany
JOHNNYTWENTYTHREE,3237,Post Rock/Math rock,United States
"JOHNSON, ALPHONSO",5439,Jazz Rock/Fusion,United States
"JOHNSON, SCOTT",7888,RIO/Avant-Prog,United States
"JOHNSTON, NICK ",12700,Crossover Prog,Canada
JOIN IN,7700,Jazz Rock/Fusion,Germany
JOLLY,4906,Neo-Prog,United States
JON & VANGELIS,1948,Prog Related,United Kingdom
JON OLIVA'S PAIN,1962,Progressive Metal,United States
"JONA, FRYDERYK",12065,Progressive Electronic,Germany
JONAS REINHARDT,6402,Progressive Electronic,United States
JONATHAN,2112,Progressive Electronic,Germany
"JONES, JOHN PAUL",4060,Heavy Prog,United Kingdom
"JONES, NIGEL MAZLYN",8545,Prog Folk,United Kingdom
JONESY,1331,Heavy Prog,United Kingdom
JONO,8603,Crossover Prog,Sweden
JONO EL GRANDE ,3180,RIO/Avant-Prog,Norway
"JONSSON, LARS ",5326,RIO/Avant-Prog,Sweden
JORDSJØ,10079,Symphonic Prog,Norway
JORK,7704,RIO/Avant-Prog,Ireland
JORM,6483,Crossover Prog,Sweden
JOSEPH MAGAZINE,6409,Progressive Metal,Poland
"JOSH, BRYAN",4191,Prog Related,United Kingdom
JOUIS,11173,Crossover Prog,United Kingdom
JOURNAL,8750,Tech/Extreme Prog Metal,United States
JOURNEY,3968,Prog Related,United States
JOVENABUELO,6430,Post Rock/Math rock,Chile
JOVIAC,11302,Heavy Prog,Finland
JOX,5551,Prog Folk,France
JOY HEIGHTS,4346,Psychedelic/Space Rock,Japan
JOY UNLIMITED,4750,Eclectic Prog,Germany
JOY WANTS ETERNITY,3992,Post Rock/Math rock,United States
JÜ,9189,Jazz Rock/Fusion,Hungary
JUAN S. GARCÉS,12182,Progressive Metal,Ecuador
JUD'S GALLERY,3414,Krautrock,Germany
JUGGERNAUT,11853,Experimental/Post Metal,Italy
JUGLANS REGIA,3763,Heavy Prog,Italy
"JUHKAM, JAKOB",7689,RIO/Avant-Prog,Estonia
JUKE,8605,Psychedelic/Space Rock,France
JULIAN'S TREATMENT,827,Eclectic Prog,United Kingdom
JULIE'S HAIRCUT,12033,Psychedelic/Space Rock,Italy
"JULIEN, JULIAN",7006,Jazz Rock/Fusion,France
JULVERNE,1583,RIO/Avant-Prog,Belgium
JUMBO,730,Rock Progressivo Italiano,Italy
JUMP,4134,Neo-Prog,United Kingdom
JUMP FOR JOY!,7786,RIO/Avant-Prog,Multi-National
JUNE CLEAVER AND THE STEAK KNIVES,3680,Eclectic Prog,United States
JUNE OF 44,8700,Post Rock/Math rock,United States
JUNEGRASS,12413,Krautrock,United States
JUNG PEOPLE,6329,Post Rock/Math rock,Canada
JUNGLE,7526,RIO/Avant-Prog,Japan
JUNIPHER GREENE,2413,Heavy Prog,Norway
JUNIUS,5257,Post Rock/Math rock,United States
JUNK FARM,4161,Heavy Prog,Germany
JUNON / EX GENERAL LEE,12583,Experimental/Post Metal,France
JUPITER FUNGUS,12862,Eclectic Prog,Greece
JUPITER HOLLOW,10517,Progressive Metal,Canada
JUPITER SOCIETY,4059,Progressive Metal,Sweden
JUPU GROUP,1881,Jazz Rock/Fusion,Finland
JUS PRIMAE NOCTIS,11257,Rock Progressivo Italiano,Italy
JUSTINE,5096,RIO/Avant-Prog,Canada
JUSTINE,5152,Prog Folk,United Kingdom
JUTRO,3310,Jazz Rock/Fusion,Yugoslavia
JUUDAS ISKARIOTIN SUUDELMA,7710,Psychedelic/Space Rock,Finland
K'MONO,11839,Neo-Prog,United States
K2,1585,Neo-Prog,United States
KA.MMEN / EX SEVENTH EVIDENCE,6187,Experimental/Post Metal,Ukraine
KAADA & PATTON,2441,RIO/Avant-Prog,United States
"KAAH, OLIVER",8296,Experimental/Post Metal,Finland
KAAMOS,1340,Prog Folk,Finland
KAARNA,5689,Psychedelic/Space Rock,Finland
KAATAYRA,12198,Experimental/Post Metal,Brazil
KADA,2170,Jazz Rock/Fusion,Hungary
KADATH,10709,Neo-Prog,Japan
KADDISFLY,5431,Crossover Prog,United States
KADENZZA,4510,Tech/Extreme Prog Metal,Japan
KADINJA,10797,Tech/Extreme Prog Metal,France
KADWALADYR,5970,Prog Folk,France
KAELLING,10361,Progressive Metal,Portugal
KAILASH,4864,Experimental/Post Metal,Italy
KAIPA,181,Symphonic Prog,Sweden
KAIPA DA CAPO,9936,Symphonic Prog,Sweden
KAIRON; IRSE!,9575,Post Rock/Math rock,Finland
KAIROS.,10621,Tech/Extreme Prog Metal,United States
KAISER AND THE MACHINES OF CREATION,6403,Progressive Metal,Australia
"KAISER, HENRY",5906,RIO/Avant-Prog,United States
KAIZEN,182,Symphonic Prog,Brazil
KAKAOKAMKAMI,5541,Post Rock/Math rock,Finland
KAKUSENJO NO ONGAKU (BASE OF FICTION),7858,Zeuhl,Japan
KALA,6212,Indo-Prog/Raga Rock,United Kingdom
KALABAN,183,Symphonic Prog,United States
KALACAKRA,1364,Indo-Prog/Raga Rock,Germany
KALEIDON,2115,Jazz Rock/Fusion,Italy
KALEIDOREAL,10877,Heavy Prog,Sweden
KALEIDOSCOPE,2282,Proto-Prog,United Kingdom
KALEIDOSKOP,11314,Jazz Rock/Fusion,Germany
KALEIKR,11881,Tech/Extreme Prog Metal,Iceland
KALEVALA,1588,Prog Related,Finland
KALISANTROPE,9511,Rock Progressivo Italiano,Italy
KALISIA,4599,Tech/Extreme Prog Metal,France
KALKI AVATARA,6319,Experimental/Post Metal,Italy
KALLE,12842,Jazz Rock/Fusion,Norway
"KALMA, ARIEL",7418,Progressive Electronic,Australia
KALO,1109,Symphonic Prog,Japan
KALON,9645,Post Rock/Math rock,United States
KALOUV,10712,Post Rock/Math rock,Brazil
KÄLTER,8664,Tech/Extreme Prog Metal,Canada
"KALUGIN, ANTONY",11509,Symphonic Prog,Ukraine
KALUTALIKSUAK,4383,Psychedelic/Space Rock,Russia
KAM-PAS-NEL-LA,3445,RIO/Avant-Prog,Multi-National
KAMELOT,1486,Progressive Metal,United States
"KAMEN, TYLER",11328,Psychedelic/Space Rock,United States
"KAMIYAMA, HOPPY",5888,RIO/Avant-Prog,Japan
KAMMERFLIMMER KOLLEKTIEF,3088,Post Rock/Math rock,Germany
KAMPAI,2063,Neo-Prog,Germany
"KAMPMAN, ERIC",2377,Prog Related,United States
KANAAN,10706,Psychedelic/Space Rock,Norway
KANDAHAR,2462,Jazz Rock/Fusion,Belgium
KANGURU,4136,Indo-Prog/Raga Rock,Australia
KANOI,8335,Krautrock,Austria
KANOO,12441,Post Rock/Math rock,United Kingdom
KANSAS,630,Symphonic Prog,United States
KANT FREUD KAFKA,8983,Crossover Prog,Spain
KANTE,12447,Post Rock/Math rock,Germany
KANZEON,8512,Psychedelic/Space Rock,Japan
KAOLL,11391,Psychedelic/Space Rock,Brazil
KAOS MOON,184,Crossover Prog,Canada
KAOTHIC,11488,Progressive Metal,Spain
KAPELA LA CHATELIER,10241,RIO/Avant-Prog,Slovenia
KAPREKAR'S CONSTANT,10368,Crossover Prog,United Kingdom
KAPUTTER HAMSTER,2128,Krautrock,Germany
KARABA,9457,Psychedelic/Space Rock,Germany
KARABOUDJAN,2243,Experimental/Post Metal,Sweden
KARAKORUM,10092,Psychedelic/Space Rock,Germany
KARCIUS,1370,Jazz Rock/Fusion,Canada
KARDA ESTRA,470,Symphonic Prog,United Kingdom
KAREN COOPER COMPLEX,6067,RIO/Avant-Prog,United States
KARENAUTAS,8757,RIO/Avant-Prog,Argentina
KARFAGEN,2554,Symphonic Prog,Ukraine
"KARG, JÜRGEN",3589,Progressive Electronic,Germany
KARI BAND,10230,Jazz Rock/Fusion,Japan
KARIBOW,9385,Crossover Prog,Germany
KARL HECTOR & THE MALCOUNS,12539,Krautrock,Germany
KARMA,3280,Progressive Metal,Brazil
KARMA CANON,7848,Psychedelic/Space Rock,United States
KARMA DEPTH,1648,Progressive Metal,Belgium
KARMABLUE,3915,Eclectic Prog,Italy
KARMACIPHER,12053,Tech/Extreme Prog Metal,China
KARMAKANIC,1093,Symphonic Prog,Sweden
KARMAMOI,8446,Heavy Prog,Italy
KARMANJAKAH,11951,Progressive Metal,Sweden
KARMIC JUGGERNAUT,10568,RIO/Avant-Prog,United States
KARMIC SOCIETY,3645,Psychedelic/Space Rock,Germany
KARNAK,12273,Tech/Extreme Prog Metal,Italy
KARNATAKA,427,Prog Folk,United Kingdom
KARNIVOOL,5448,Heavy Prog,Australia
"KARRER, CHRIS",2411,Prog Folk,Germany
KARUNA KHYAL,2116,Psychedelic/Space Rock,Japan
KASCHALOT,11697,Post Rock/Math rock,Estonia
KASEKE,917,Jazz Rock/Fusion,Estonia
KASHGAR,9755,Jazz Rock/Fusion,Canada
KASHMIR,8482,Progressive Electronic,Switzerland
KASKADEUR,11515,Eclectic Prog,Germany
KASSINI,7821,Crossover Prog,United States
KASSIOPEIA,9838,Crossover Prog,Germany
KATABASIS,6680,Tech/Extreme Prog Metal,Australia
KATALENA,3260,Prog Folk,Slovenia
KATATONIA,9887,Progressive Metal,Sweden
KATAYA,6260,Eclectic Prog,Finland
KATHAARIA,11952,Tech/Extreme Prog Metal,Germany
KATHAARSYS,4702,Tech/Extreme Prog Metal,Spain
KATRA TURANA,5424,RIO/Avant-Prog,Japan
KATRE,10749,Post Rock/Math rock,Turkey
"KATSIONIS, BABIS",4854,Progressive Metal,Greece
KATZEN KAPELL,5218,RIO/Avant-Prog,Sweden
KAUAN,12377,Experimental/Post Metal,Russia
"KAUFMANN, A. J.",12294,Psychedelic/Space Rock,Poland
KAUHUKAKARA,6113,RIO/Avant-Prog,Multi-National
KAUKASUS,8845,Crossover Prog,Norway
KAULA SPANDA,10277,Psychedelic/Space Rock,Russia
"KAWAGUCHI, SENRI",9521,Jazz Rock/Fusion,Japan
KAWN,11027,Progressive Metal,Morocco
KAYAK,186,Crossover Prog,Netherlands
KAYANIS,12532,Crossover Prog,Poland
"KAYE, TONY",11955,Neo-Prog,United Kingdom
KAYO DOT,1870,RIO/Avant-Prog,United States
KAZACHSTÁN,8862,Crossover Prog,Czech Republic
KBB,738,Jazz Rock/Fusion,Japan
KDB3,11655,Symphonic Prog,United States
KEBNEKAJSE,938,Prog Folk,Sweden
KEDAMA,2296,Crossover Prog,Switzerland
KEELHAUL,4515,Experimental/Post Metal,United States
KEEP IT DEEP,8316,Crossover Prog,Belgium
KEEP ROCKIN',11489,Progressive Metal,Poland
KEHELL,7969,Jazz Rock/Fusion,Japan
KEKAL,1513,Experimental/Post Metal,Indonesia
KEL LOCH & GOLD,6755,Crossover Prog,United States
"KELLY, TOM",10717,Crossover Prog,United States
KEMIALLISET YSTÄVÄT,8651,Krautrock,Finland
"KEMP, ROSE",6831,Psychedelic/Space Rock,United Kingdom
KEN'S NOVEL,187,Neo-Prog,Belgium
"KENEALLY, MIKE",1748,RIO/Avant-Prog,United States
KENNEDY,5844,Jazz Rock/Fusion,Japan
KENSO,188,Jazz Rock/Fusion,Japan
"KENTISH SPIRES, THE",10638,Canterbury Scene,United Kingdom
KEOR,10493,Eclectic Prog,France
KEPLER TEN,11449,Heavy Prog,United Kingdom
KEPZELT VAROS,5584,Post Rock/Math rock,Hungary
KERMIT,8784,Post Rock/Math rock,Spain
KERRETTA,8143,Post Rock/Math rock,New Zealand
KERRS PINK,189,Prog Folk,Norway
"KERSHAW, MIKE",8610,Crossover Prog,United Kingdom
KERYGMATIC PROJECT,8846,Crossover Prog,Italy
"KERZNER, DAVE",9184,Crossover Prog,United States
KES,9816,Heavy Prog,Turkey
KESTREL,1361,Prog Related,United Kingdom
KETHA,5052,Tech/Extreme Prog Metal,Poland
KETTLESPIDER,7400,Heavy Prog,Australia
KEVEL,12116,Experimental/Post Metal,Greece
KEVLAR RED,6878,Crossover Prog,United Kingdom
KHA - YM,8661,Progressive Electronic,France
KHADAVRA,10932,Psychedelic/Space Rock,Sweden
KHALI,190,Progressive Metal,Italy
KHALLICE,1329,Progressive Metal,Brazil
KHAN,1172,Canterbury Scene,United Kingdom
KHANATE,5069,Experimental/Post Metal,United States
KHARA,10751,Post Rock/Math rock,Macedonia
KHARMA CODE,7296,Progressive Metal,Spain
KHARMINA BURANNA,3881,Eclectic Prog,Peru
KHATSATURJAN,5486,Symphonic Prog,Finland
KHEMEÏA,6594,Experimental/Post Metal,France
KHEPRI,12524,Experimental/Post Metal,United Kingdom
KHOMA,3911,Experimental/Post Metal,Sweden
KHONSU,10430,Tech/Extreme Prog Metal,Norway
KHÔRADA,11026,Experimental/Post Metal,United States
KHUDA,5709,Experimental/Post Metal,United Kingdom
KIAMA,10376,Crossover Prog,United Kingdom
KICK THE BUTTERFLY,8497,Experimental/Post Metal,Australia
KICK THE CAT,5240,Jazz Rock/Fusion,United States
KICKBIT INFORMATION,12239,Krautrock,Germany
KID COUSIN,9176,Crossover Prog,United States
"KIDNEY EXPERIENCE, PAUL",6617,Psychedelic/Space Rock,Australia
KIDS EAT CRAYONS,3950,Eclectic Prog,Canada
KIILA,12685,Eclectic Prog,Finland
KIKAGAKU MOYO,8168,Psychedelic/Space Rock,Japan
KIKI PAU,8287,Psychedelic/Space Rock,Finland
KIKU LATTE / EX CICHLA TEMENSIS,11628,Eclectic Prog,Japan
KILL FOR TOTAL PEACE,5283,Psychedelic/Space Rock,France
KILLBOT ZERO,4534,Progressive Metal,United States
KILLED ON X-MAS,8407,Krautrock,Germany
KILLFLAVOUR,7464,Psychedelic/Space Rock,Germany
KILLING TIME,6081,RIO/Avant-Prog,Japan
KILLINGTON FALL,6538,Post Rock/Math rock,United Kingdom
KILLSONG,8514,RIO/Avant-Prog,Australia
KILTER,11495,Experimental/Post Metal,United States
KIMIKA,6565,Post Rock/Math rock,Canada
KIMURA,8236,Crossover Prog,France
KIN PING MEH,2698,Heavy Prog,Germany
KINDER,6174,Post Rock/Math rock,Peru
KINDLER,8777,Heavy Prog,United States
"KINDRED, THE",8869,Heavy Prog,Canada
KINESIC,10045,Crossover Prog,Spain
KINETIC ELEMENT,5077,Neo-Prog,United States
KING CAPISCE,10406,Jazz Rock/Fusion,United Kingdom
KING CRIMSON,191,Eclectic Prog,United Kingdom
KING EIDER,2452,Symphonic Prog,Netherlands
KING FISH CROW,9161,Prog Folk,United States
KING GIZZARD & THE LIZARD WIZARD,11151,Psychedelic/Space Rock,Australia
KING GOAT,10489,Tech/Extreme Prog Metal,United Kingdom
KING GORM,11465,Crossover Prog,United States
KING OF AGOGIK,6643,Neo-Prog,Germany
KING OF SWEDEN,12001,Heavy Prog,Finland
KING RAT,4982,Crossover Prog,United Kingdom
KING SUFFY GENERATOR,8376,Psychedelic/Space Rock,Italy
KING'S X,3969,Prog Related,United States
KINGBATHMAT,1629,Psychedelic/Space Rock,United Kingdom
KINGCROW,5857,Progressive Metal,Italy
KINGDOM,4533,Experimental/Post Metal,Belgium
KINGFISHER SKY,3903,Heavy Prog,Netherlands
KINGSTON WALL,1372,Psychedelic/Space Rock,Finland
KINKY WIZZARDS,10393,Jazz Rock/Fusion,United Kingdom
KINO,3979,Crossover Prog,United States
KINO,1533,Prog Related,United Kingdom
KINSKI,2854,Psychedelic/Space Rock,United States
KINZOKU-EBISU,2083,Crossover Prog,Japan
KIRKBINSINEK,9802,Psychedelic/Space Rock,Turkey
"KIRKWOOD, JIM",12340,Progressive Electronic,United Kingdom
KIROPTERA,11286,Heavy Prog,Germany
KIRUNA,4464,Psychedelic/Space Rock,Norway
KISS KISS,5983,Crossover Prog,United States
"KISTENMACHER, BERND",3447,Progressive Electronic,Germany
KITARO,10078,Progressive Electronic,Japan
KITE PARADE,12575,Crossover Prog,United Kingdom
KITSCHY,11115,Post Rock/Math rock,United States
KITSUNE NO YOMEIRI,10016,Crossover Prog,Japan
KIYO*SEN,11601,Jazz Rock/Fusion,Japan
KJJJJJJJJJ,12393,Post Rock/Math rock,Argentina
KJOL,11766,Jazz Rock/Fusion,Switzerland
KL(AÜS),9872,Progressive Electronic,Australia
KLAATU,192,Prog Related,Canada
KLABAUTAMANN,4523,Experimental/Post Metal,Germany
KLADIVO KONJ IN VODA,7363,Prog Folk,Slovenia
KLAN,1040,Jazz Rock/Fusion,Poland
KLAR,5807,Psychedelic/Space Rock,Czech Republic
KLAST,12680,Tech/Extreme Prog Metal,United States
KLAVA,11332,Psychedelic/Space Rock,Finland
KLAXON GUEULE,5368,RIO/Avant-Prog,Canada
KLETKA RED,5902,RIO/Avant-Prog,Multi-National
KLEVER,6497,Post Rock/Math rock,Russia
KLEXOS,12529,Tech/Extreme Prog Metal,United States
KLIDAS,12527,Rock Progressivo Italiano,Italy
KLIMPEREI,7783,RIO/Avant-Prog,France
KLOCKWERK ORANGE,2324,Symphonic Prog,Austria
KLONE,11242,Heavy Prog,France
KLOTET,5229,Eclectic Prog,Sweden
KLUSTER,2135,Krautrock,Germany
KNALL,7670,Psychedelic/Space Rock,Germany
KNEKKLECTRIC,12357,Crossover Prog,Norway
"KNELLS, THE",8672,RIO/Avant-Prog,United States
KNIFE THE GLITTER,4527,Tech/Extreme Prog Metal,United States
KNIFEWORLD,4800,Crossover Prog,United Kingdom
KNIGHT AREA,877,Neo-Prog,Netherlands
KNITTING BY TWILIGHT,7255,Progressive Electronic,United States
"KNÖDEL, DIE",3964,RIO/Avant-Prog,Austria
KNOMIGON,7073,RIO/Avant-Prog,United States
KOBONG,5129,Tech/Extreme Prog Metal,Poland
KOENJI HYAKKEI,1218,Zeuhl,Japan
"KOEPPER, JEFFREY",10338,Progressive Electronic,United States
KOGAION,9928,Symphonic Prog,Romania
KOI,5833,Crossover Prog,Sweden
KOIAK,3565,Eclectic Prog,Chile
"KOIVU, PASI",6622,Psychedelic/Space Rock,Finland
KOKOMO,8171,Post Rock/Math rock,Germany
KOKOSCHKA HIGHTOWN ORCHESTRA,10738,Jazz Rock/Fusion,Germany
KOLIBRI,9606,Prog Folk,Germany
KOLINDA,7058,Prog Folk,Hungary
"KOLIOS PROJECT, THE",1902,Progressive Metal,Multi-National
KOLKHÖZE PRINTANIUM,7108,RIO/Avant-Prog,France
"KOLLÁR, ATTILA",428,Prog Folk,Hungary
KOLLEKTIV,1985,Krautrock,Germany
KOLLWITZ,6421,Experimental/Post Metal,Norway
KOLORS OF ZOUND,5062,Eclectic Prog,Austria
